	gage_number	variable	qualifier	value	dateTime
80	08068720	Discharge, cubic feet per second	e	435	2015-03-22T00:00:00.000
81	08068720	Discharge, cubic feet per second	e	481	2015-03-23T00:00:00.000
82	08068720	Discharge, cubic feet per second	e	447	2015-03-24T00:00:00.000
83	08068720	Discharge, cubic feet per second	e	178	2015-03-25T00:00:00.000
84	08068720	Discharge, cubic feet per second	e	72.4	2015-03-26T00:00:00.000
85	08068720	Discharge, cubic feet per second	e	34.9	2015-03-27T00:00:00.000
86	08068720	Discharge, cubic feet per second	e	21.2	2015-03-28T00:00:00.000
87	08068720	Discharge, cubic feet per second	e	14.0	2015-03-29T00:00:00.000
88	08068720	Discharge, cubic feet per second	e	10.8	2015-03-30T00:00:00.000
89	08068720	Discharge, cubic feet per second	e	8.36	2015-03-31T00:00:00.000
90	08068720	Discharge, cubic feet per second	e	7.11	2015-04-01T00:00:00.000
91	08068720	Discharge, cubic feet per second	e	6.13	2015-04-02T00:00:00.000
92	08068720	Discharge, cubic feet per second	e	5.97	2015-04-03T00:00:00.000
93	08068720	Discharge, cubic feet per second	e	5.80	2015-04-04T00:00:00.000
94	08068720	Discharge, cubic feet per second	e	4.89	2015-04-05T00:00:00.000
95	08068720	Discharge, cubic feet per second	e	4.35	2015-04-06T00:00:00.000
96	08068720	Discharge, cubic feet per second	e	3.84	2015-04-07T00:00:00.000
97	08068720	Discharge, cubic feet per second	e	3.27	2015-04-08T00:00:00.000
98	08068720	Discharge, cubic feet per second	e	2.74	2015-04-09T00:00:00.000
99	08068720	Discharge, cubic feet per second	e	3.05	2015-04-10T00:00:00.000
100	08068720	Discharge, cubic feet per second	e	3.05	2015-04-11T00:00:00.000
101	08068720	Discharge, cubic feet per second	e	3.96	2015-04-12T00:00:00.000
102	08068720	Discharge, cubic feet per second	e	6.46	2015-04-13T00:00:00.000
103	08068720	Discharge, cubic feet per second	e	6.46	2015-04-14T00:00:00.000
104	08068720	Discharge, cubic feet per second	e	6.13	2015-04-15T00:00:00.000
105	08068720	Discharge, cubic feet per second	e	14.2	2015-04-16T00:00:00.000
106	08068720	Discharge, cubic feet per second	e	278	2015-04-17T00:00:00.000
107	08068720	Discharge, cubic feet per second	e	489	2015-04-18T00:00:00.000
108	08068720	Discharge, cubic feet per second	e	600	2015-04-19T00:00:00.000
109	08068720	Discharge, cubic feet per second	e	601	2015-04-20T00:00:00.000
110	08068720	Discharge, cubic feet per second	e	481	2015-04-21T00:00:00.000
111	08068720	Discharge, cubic feet per second	e	261	2015-04-22T00:00:00.000
112	08068720	Discharge, cubic feet per second	e	114	2015-04-23T00:00:00.000
113	08068720	Discharge, cubic feet per second	e	67.9	2015-04-24T00:00:00.000
114	08068720	Discharge, cubic feet per second	e	107	2015-04-25T00:00:00.000
115	08068720	Discharge, cubic feet per second	e	110	2015-04-26T00:00:00.000
116	08068720	Discharge, cubic feet per second	e	227	2015-04-27T00:00:00.000
117	08068720	Discharge, cubic feet per second	e	280	2015-04-28T00:00:00.000
118	08068720	Discharge, cubic feet per second	e	304	2015-04-29T00:00:00.000
119	08068720	Discharge, cubic feet per second	e	141	2015-04-30T00:00:00.000
120	08068720	Discharge, cubic feet per second	e	48.2	2015-05-01T00:00:00.000
121	08068720	Discharge, cubic feet per second	e	25.2	2015-05-02T00:00:00.000
122	08068720	Discharge, cubic feet per second	e	15.3	2015-05-03T00:00:00.000
123	08068720	Discharge, cubic feet per second	e	9.53	2015-05-04T00:00:00.000
124	08068720	Discharge, cubic feet per second	e	6.30	2015-05-05T00:00:00.000
125	08068720	Discharge, cubic feet per second	e	4.89	2015-05-06T00:00:00.000
126	08068720	Discharge, cubic feet per second	e	3.49	2015-05-07T00:00:00.000
127	08068720	Discharge, cubic feet per second	e	3.05	2015-05-08T00:00:00.000
128	08068720	Discharge, cubic feet per second	e	2.52	2015-05-09T00:00:00.000
129	08068720	Discharge, cubic feet per second	e	2.31	2015-05-10T00:00:00.000
130	08068720	Discharge, cubic feet per second	e	4.35	2015-05-11T00:00:00.000
131	08068720	Discharge, cubic feet per second	e	41.9	2015-05-12T00:00:00.000
132	08068720	Discharge, cubic feet per second	e	69.8	2015-05-13T00:00:00.000
133	08068720	Discharge, cubic feet per second	e	228	2015-05-14T00:00:00.000
134	08068720	Discharge, cubic feet per second	e	380	2015-05-15T00:00:00.000
135	08068720	Discharge, cubic feet per second	e	411	2015-05-16T00:00:00.000
136	08068720	Discharge, cubic feet per second	e	415	2015-05-17T00:00:00.000
137	08068720	Discharge, cubic feet per second	e	620	2015-05-18T00:00:00.000
138	08068720	Discharge, cubic feet per second	e	689	2015-05-19T00:00:00.000
139	08068720	Discharge, cubic feet per second	e	723	2015-05-20T00:00:00.000
140	08068720	Discharge, cubic feet per second	e	731	2015-05-21T00:00:00.000
141	08068720	Discharge, cubic feet per second	e	694	2015-05-22T00:00:00.000
142	08068720	Discharge, cubic feet per second	e	597	2015-05-23T00:00:00.000
143	08068720	Discharge, cubic feet per second	e	570	2015-05-24T00:00:00.000
144	08068720	Discharge, cubic feet per second	e	695	2015-05-25T00:00:00.000
145	08068720	Discharge, cubic feet per second	e	979	2015-05-26T00:00:00.000
146	08068720	Discharge, cubic feet per second	e	1630	2015-05-27T00:00:00.000
147	08068720	Discharge, cubic feet per second	e	1890	2015-05-28T00:00:00.000
148	08068720	Discharge, cubic feet per second	e	1900	2015-05-29T00:00:00.000
149	08068720	Discharge, cubic feet per second	e	1820	2015-05-30T00:00:00.000
150	08068720	Discharge, cubic feet per second	e	1660	2015-05-31T00:00:00.000
151	08068720	Discharge, cubic feet per second	e	1510	2015-06-01T00:00:00.000
152	08068720	Discharge, cubic feet per second	e	1260	2015-06-02T00:00:00.000
153	08068720	Discharge, cubic feet per second	e	1020	2015-06-03T00:00:00.000
154	08068720	Discharge, cubic feet per second	e	616	2015-06-04T00:00:00.000
155	08068720	Discharge, cubic feet per second	e	225	2015-06-05T00:00:00.000
156	08068720	Discharge, cubic feet per second	e	130	2015-06-06T00:00:00.000
157	08068720	Discharge, cubic feet per second	e	79.8	2015-06-07T00:00:00.000
158	08068720	Discharge, cubic feet per second	e	46.2	2015-06-08T00:00:00.000
159	08068720	Discharge, cubic feet per second	e	32.0	2015-06-09T00:00:00.000
160	08068720	Discharge, cubic feet per second	e	24.8	2015-06-10T00:00:00.000
161	08068720	Discharge, cubic feet per second	e	17.6	2015-06-11T00:00:00.000
162	08068720	Discharge, cubic feet per second	e	36.1	2015-06-12T00:00:00.000
163	08068720	Discharge, cubic feet per second	e	20.5	2015-06-13T00:00:00.000
164	08068720	Discharge, cubic feet per second	e	25.2	2015-06-14T00:00:00.000
165	08068720	Discharge, cubic feet per second	e	36.5	2015-06-15T00:00:00.000
166	08068720	Discharge, cubic feet per second	e	36.1	2015-06-16T00:00:00.000
167	08068720	Discharge, cubic feet per second	e	394	2015-06-17T00:00:00.000
168	08068720	Discharge, cubic feet per second	e	688	2015-06-18T00:00:00.000
169	08068720	Discharge, cubic feet per second	e	705	2015-06-19T00:00:00.000
170	08068720	Discharge, cubic feet per second	e	703	2015-06-20T00:00:00.000
171	08068720	Discharge, cubic feet per second	e	594	2015-06-21T00:00:00.000
172	08068720	Discharge, cubic feet per second	e	228	2015-06-22T00:00:00.000
173	08068720	Discharge, cubic feet per second	e	104	2015-06-23T00:00:00.000
174	08068720	Discharge, cubic feet per second	e	49.2	2015-06-24T00:00:00.000
175	08068720	Discharge, cubic feet per second	e	28.4	2015-06-25T00:00:00.000
176	08068720	Discharge, cubic feet per second	e	18.9	2015-06-26T00:00:00.000
177	08068720	Discharge, cubic feet per second	e	19.5	2015-06-27T00:00:00.000
178	08068720	Discharge, cubic feet per second	e	225	2015-06-28T00:00:00.000
179	08068720	Discharge, cubic feet per second	e	471	2015-06-29T00:00:00.000
180	08068720	Discharge, cubic feet per second	e	515	2015-06-30T00:00:00.000
181	08068720	Discharge, cubic feet per second	e	395	2015-07-01T00:00:00.000
182	08068720	Discharge, cubic feet per second	e	121	2015-07-02T00:00:00.000
183	08068720	Discharge, cubic feet per second	e	60.1	2015-07-03T00:00:00.000
184	08068720	Discharge, cubic feet per second	e	32.0	2015-07-04T00:00:00.000
185	08068720	Discharge, cubic feet per second	e	11.7	2015-07-05T00:00:00.000
186	08068720	Discharge, cubic feet per second	e	7.63	2015-07-06T00:00:00.000
187	08068720	Discharge, cubic feet per second	e	5.49	2015-07-07T00:00:00.000
188	08068720	Discharge, cubic feet per second	e	3.60	2015-07-08T00:00:00.000
189	08068720	Discharge, cubic feet per second	e	2.52	2015-07-09T00:00:00.000
190	08068720	Discharge, cubic feet per second	e	1.94	2015-07-10T00:00:00.000
191	08068720	Discharge, cubic feet per second	e	1.26	2015-07-11T00:00:00.000
192	08068720	Discharge, cubic feet per second	e	1.14	2015-07-12T00:00:00.000
193	08068720	Discharge, cubic feet per second	e	0.82	2015-07-13T00:00:00.000
194	08068720	Discharge, cubic feet per second	e	3.72	2015-07-14T00:00:00.000
195	08068720	Discharge, cubic feet per second	e	3.16	2015-07-15T00:00:00.000
196	08068720	Discharge, cubic feet per second	e	0.60	2015-07-16T00:00:00.000
197	08068720	Discharge, cubic feet per second	e	4.89	2015-07-17T00:00:00.000
198	08068720	Discharge, cubic feet per second	e	4.61	2015-07-18T00:00:00.000
199	08068720	Discharge, cubic feet per second	e	2.74	2015-07-19T00:00:00.000
200	08068720	Discharge, cubic feet per second	e	1.26	2015-07-20T00:00:00.000
201	08068720	Discharge, cubic feet per second	e	1.26	2015-07-21T00:00:00.000
202	08068720	Discharge, cubic feet per second	e	0.73	2015-07-22T00:00:00.000
203	08068720	Discharge, cubic feet per second	e	0.25	2015-07-23T00:00:00.000
204	08068720	Discharge, cubic feet per second	e	0.08	2015-07-24T00:00:00.000
205	08068720	Discharge, cubic feet per second	e	0.10	2015-07-25T00:00:00.000
206	08068720	Discharge, cubic feet per second	e	0.09	2015-07-26T00:00:00.000
207	08068720	Discharge, cubic feet per second	e	0.05	2015-07-27T00:00:00.000
208	08068720	Discharge, cubic feet per second	e	0.03	2015-07-28T00:00:00.000
209	08068720	Discharge, cubic feet per second	e	0.02	2015-07-29T00:00:00.000
210	08068720	Discharge, cubic feet per second	e	0.02	2015-07-30T00:00:00.000
211	08068720	Discharge, cubic feet per second	e	109	2015-08-21T00:00:00.000
212	08068720	Discharge, cubic feet per second	e	75.7	2015-08-22T00:00:00.000
213	08068720	Discharge, cubic feet per second	e	17.0	2015-08-23T00:00:00.000
214	08068720	Discharge, cubic feet per second	e	7.11	2015-08-24T00:00:00.000
215	08068720	Discharge, cubic feet per second	e	3.37	2015-08-25T00:00:00.000
216	08068720	Discharge, cubic feet per second	e	1.77	2015-08-26T00:00:00.000
217	08068720	Discharge, cubic feet per second	e	0.87	2015-08-27T00:00:00.000
218	08068720	Discharge, cubic feet per second	e	0.45	2015-08-28T00:00:00.000
219	08068720	Discharge, cubic feet per second	e	0.21	2015-08-29T00:00:00.000
220	08068720	Discharge, cubic feet per second	e	0.16	2015-08-30T00:00:00.000
221	08068720	Discharge, cubic feet per second	e	0.11	2015-08-31T00:00:00.000
222	08068720	Discharge, cubic feet per second	e	6.46	2015-09-01T00:00:00.000
223	08068720	Discharge, cubic feet per second	e	3.37	2015-09-02T00:00:00.000
224	08068720	Discharge, cubic feet per second	e	0.30	2015-09-03T00:00:00.000
225	08068720	Discharge, cubic feet per second	e	0.30	2015-09-04T00:00:00.000
